"IDENTIFIER","CONCEPT_CODE","DEFINITION","value","PUBLIC_ID"
"getNextPvId()","","","ACD Vacutainer","2003997"
"getNextPvId()","","","Heparin Vacutainer","2003997"
"getNextPvId()","","","EDTA Vacutainer","2003997"
"getNextPvId()","","","Serum Separator Vacutainer","2003997"
"getNextPvId()","","","Sterile Specimen Container","2003997"
"getNextPvId()","","","No Additive Vacutainer","2003997"
"getNextPvId()","","","Citrate Vacutainer","2003997"
"getNextPvId()","","","Not Specified","2003997"
"getNextPvId()","","","CPT","2003997"
"getNextPvId()","","","Paxgene","2003997"
"getNextPvId()","","","Streck","2003997"
